Otu,domain,phylum,class,order,family,genus,species
ASV273,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV219,Eukaryota,Cercozoa,Cercomonadidae,NA,NA,NA,NA
ASV197,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV135,Eukaryota,NA,Chrysophyceae,Chromulinales,NA,NA,NA
ASV238,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Planothidium,NA
ASV230,Eukaryota,Rotifera,Monogononta,Ploimida,NA,NA,NA
ASV218,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Vorticella,NA
ASV297,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV206,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV291,Eukaryota,Cercozoa,NA,NA,NA,NA,NA
ASV252,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,NA,NA
ASV265,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV247,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV293,Eukaryota,NA,NA,NA,NA,NA,NA
ASV280,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV164,Eukaryota,NA,NA,NA,NA,NA,NA
ASV251,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV272,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,NA,NA
ASV248,Eukaryota,NA,Chrysophyceae,NA,NA,NA,NA
ASV109,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV270,Eukaryota,Cercozoa,Cercomonadidae,NA,NA,Paracercomonas,NA
ASV199,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV286,Eukaryota,Centrohelida,NA,NA,Acanthocystidae,Pterocystis,NA
ASV190,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Nitzschia,NA
ASV278,Eukaryota,Cercozoa,Vampyrellidae,NA,NA,Leptophrys,NA
ASV241,Eukaryota,NA,Tubulinea,NA,NA,BOLA868,NA
ASV245,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV232,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV249,Eukaryota,NA,NA,NA,NA,NA,NA
ASV257,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Planothidium,NA
ASV184,Eukaryota,NA,Tubulinea,Echinamoebida,NA,Vermamoeba,NA
ASV301,Eukaryota,NA,Chrysophyceae,NA,NA,NA,NA
ASV288,Eukaryota,NA,NA,NA,NA,NA,NA
ASV133,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Cocconeis,NA
ASV290,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,NA,NA
ASV254,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Pseudovorticella,NA
ASV282,Eukaryota,Cercozoa,NA,NA,NA,NA,NA
ASV208,Eukaryota,Centrohelida,NA,NA,Acanthocystidae,Pterocystis,NA
